label,cluster_no
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
rice,5
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,0
maize,1
maize,1
maize,7
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
chickpea,6
chickpea,6
chickpea,7
chickpea,6
chickpea,6
chickpea,7
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,7
chickpea,7
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,7
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,7
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
kidneybeans,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,0
pigeonpeas,3
pigeonpeas,0
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,0
pigeonpeas,3
pigeonpeas,7
pigeonpeas,3
pigeonpeas,0
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,0
pigeonpeas,7
pigeonpeas,0
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,0
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,0
pigeonpeas,0
pigeonpeas,5
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,0
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,3
pigeonpeas,7
pigeonpeas,2
pigeonpeas,3
pigeonpeas,3
pigeonpeas,2
pigeonpeas,3
pigeonpeas,3
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,3
pigeonpeas,0
pigeonpeas,7
pigeonpeas,0
pigeonpeas,0
pigeonpeas,3
pigeonpeas,5
pigeonpeas,7
pigeonpeas,7
pigeonpeas,7
pigeonpeas,3
pigeonpeas,5
pigeonpeas,0
pigeonpeas,3
pigeonpeas,5
pigeonpeas,7
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,3
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,0
mothbeans,3
mothbeans,3
mungbean,0
mungbean,0
mungbean,2
mungbean,0
